id|nombre|email|fecha_registro
1|Juan Perez|juan@example.com|2026-05-01 18:39:07.543973
2|Maria Garcia|maria@example.com|2026-05-01 18:39:07.543973
3|Carlos Ruiz|carlos.r@mail.com|2026-05-01 18:39:07.543973
4|Laura Beltrán|lbeltran@servicios.es|2026-05-01 18:39:07.543973
5|Roberto Gómez|rgomez88@gmail.com|2026-05-01 18:39:07.543973
6|Ana Martínez|ana.mtz@empresa.org|2026-05-01 18:39:07.543973
7|Sofía Vega|svega@estudios.com|2026-05-01 18:39:07.543973
8|Diego Torres|dtorres@web.net|2026-05-01 18:39:07.543973
9|Elena Nito|elena@correo.com|2026-05-01 18:39:07.543973
10|Lucía Méndez|lumendez@tienda.io|2026-05-01 18:39:07.543973
